TESTNAME,POINTS,OUTOF,NOTES
100_exit,2,2,
101_help,2,2,
102_pwd,3,3,
103_chdir,3,3,
104_chdir_not_found,3,3,
105_sfish_prompt,2,2,
200_hello,6,6,
201_hello_from_path,6,6,
202_echo,6,6,
203_cat,6,6,
204_exec_not_found,6,6,
205_long_running_exec,5,5,
300_output_redirection,3,3,
301_input_redirection,3,3,
302_input_output_redirection,3,3,
303_double_output_redirection,1,1,
304_double_input_redirection,1,1,
305_help_redirection,0,2,
306_pwd_redirection,0,2,
307_single_pipe,0,2,
308_multiple_pipes,0,2,
309_bad_syntax_1,1,1,
310_bad_syntax_2,1,1,
311_bad_syntax_3,0,1,
312_bad_syntax_4,0,1,
313_bad_syntax_5,1,1,
314_bad_syntax_6,1,1,
315_bad_syntax_7,0,1,
316_piped_exec_error_1,0,1,
317_piped_exec_error_2,1,1,
318_long_running_pipe,0,3,arguments not passed to tr
400_ctrl_c,0,4,ctrl-c kills shell
401_ctrl_z,0,4,ctrl-z stops shell
402_jobs_builtin,0,4,no ctrl-z functionality
403_fg_builtin,0,4,no ctrl-z functionality
404_kill_jid_builtin,0,4,no ctrl-z functionality
405_kill_pid_builtin,0,4,
500_color_builtin,0,3,
501_right_prompt_part_1,0,10,
502_right_prompt_part_2,0,10,
503_git_prompt,0,2,
600_more_redirection_options,0,5,
601_command_substitution,0,5,
602_background_proc,0,2,
603_ctrl_c_piped,0,2,
604_ctrl_z_piped,0,2,
605_jobs_builtin_piped,0,2,
606_fg_builtin_piped,0,2,
607_kill_jid_builtin_piped,0,2,
EC TOTAL,0,50,
TOTAL,66,105,
